Skills,Interest,Personality,Education_Level,Recommended_Career
Flutter; Dart,Data Analysis,Analytical,Diploma,Mobile App Developer
AWS; Cloud,DevOps,Social,PG,Cloud Engineer
TensorFlow; Python,Machine Learning,Creative,Diploma,ML Engineer
Azure; Cloud Security,Mobile Development,Social,PG,Cloud Engineer
React Native; JavaScript,App Development,Logical,UG,Mobile App Developer
Statistics; Python,Designing,Social,Diploma,Data Scientist
Wireframing; User Research,Web Development,Analytical,UG,UI/UX Designer
PyTorch; Neural Networks,Mobile Development,Analytical,PG,ML Engineer
Flutter; Dart,Designing,Logical,UG,Mobile App Developer
Photoshop; Illustrator,Designing,Analytical,PG,UI/UX Designer
HTML; CSS; JavaScript,App Development,Creative,PG,Web Developer
GCP; Cloud Architecture,Designing,Creative,UG,Cloud Engineer
TensorFlow; Python,Cloud Computing,Social,PG,ML Engineer
PyTorch; Neural Networks,Marketing,Social,PG,ML Engineer
Wireframing; User Research,Machine Learning,Creative,UG,UI/UX Designer
Java; Android,Cloud Computing,Analytical,UG,Android Developer
Machine Learning; Python,Machine Learning,Social,UG,Data Scientist
Android; Flutter,Machine Learning,Analytical,Diploma,Mobile App Developer
Python; Data Analysis,Machine Learning,Social,PG,Data Scientist
Git; GitHub,Programming,Social,UG,Software Engineer
Python; ML Algorithms,Data Analysis,Logical,Diploma,ML Engineer
NextJS; JavaScript,Machine Learning,Creative,PG,Web Developer
CI/CD; Jenkins,Web Development,Logical,PG,DevOps Engineer
Python; Pandas; NumPy,Programming,Creative,Diploma,Data Scientist
Java; Spring,Programming,Logical,Diploma,Software Engineer
Deep Learning; Python,Data Analysis,Social,UG,ML Engineer
Android; Kotlin,Designing,Social,UG,Android Developer
C++; DSA,Programming,Analytical,UG,Software Engineer
Java; Android,Web Development,Analytical,Diploma,Android Developer
Email Marketing; Branding,Web Development,Logical,Diploma,Digital Marketer
React; NodeJS,Machine Learning,Social,UG,Web Developer
Machine Learning; Python,Marketing,Social,UG,Data Scientist
Python; Pandas; NumPy,App Development,Analytical,PG,Data Scientist
SEO; Content Writing,Web Development,Creative,UG,Digital Marketer
Canva; UI Design,Data Analysis,Social,UG,UI/UX Designer
Python; OOP,App Development,Analytical,Diploma,Software Engineer
Java; Android,Marketing,Social,Diploma,Android Developer
Java; Spring,Machine Learning,Logical,UG,Software Engineer
Wireframing; User Research,Data Analysis,Social,Diploma,UI/UX Designer
CI/CD; Jenkins,Data Analysis,Logical,PG,DevOps Engineer
Figma; Prototyping,Machine Learning,Analytical,Diploma,UI/UX Designer
Git; GitHub,Programming,Social,Diploma,Software Engineer
Wireframing; User Research,Mobile Development,Analytical,PG,UI/UX Designer
React Native; JavaScript,App Development,Social,PG,Mobile App Developer
Photoshop; Illustrator,Machine Learning,Social,PG,UI/UX Designer
AWS; Cloud,Programming,Analytical,UG,Cloud Engineer
AWS; Cloud,Mobile Development,Analytical,Diploma,Cloud Engineer
Android; Kotlin,Machine Learning,Logical,PG,Android Developer
Figma; Prototyping,Data Analysis,Social,Diploma,UI/UX Designer
CI/CD; Jenkins,Marketing,Social,UG,DevOps Engineer
HTML; CSS; JavaScript,Cloud Computing,Analytical,UG,Web Developer
GCP; Cloud Architecture,Programming,Analytical,Diploma,Cloud Engineer
Docker; Kubernetes,Programming,Logical,PG,DevOps Engineer
Java; Spring,Machine Learning,Social,UG,Software Engineer
Android; Kotlin,DevOps,Creative,Diploma,Android Developer
Canva; UI Design,Cloud Computing,Logical,Diploma,UI/UX Designer
Deep Learning; Python,Marketing,Creative,PG,ML Engineer
HTML; CSS; JavaScript,Cloud Computing,Logical,UG,Web Developer
Figma; Prototyping,Data Analysis,Social,UG,UI/UX Designer
Google Ads; Analytics,Web Development,Social,PG,Digital Marketer
SEO; Content Writing,Programming,Analytical,PG,Digital Marketer
C++; DSA,Designing,Creative,Diploma,Software Engineer
Git; GitHub,Marketing,Logical,PG,Software Engineer
Docker; Kubernetes,Cloud Computing,Analytical,Diploma,DevOps Engineer
AWS; Cloud,DevOps,Social,PG,Cloud Engineer
CI/CD; Jenkins,DevOps,Social,Diploma,DevOps Engineer
Linux; Bash; DevOps,Programming,Analytical,Diploma,DevOps Engineer
Python; OOP,Designing,Logical,PG,Software Engineer
Python; Data Analysis,Web Development,Analytical,PG,Data Scientist
Deep Learning; Python,Marketing,Analytical,PG,ML Engineer
Social Media Marketing,App Development,Analytical,Diploma,Digital Marketer
CI/CD; Jenkins,Machine Learning,Creative,Diploma,DevOps Engineer
Canva; UI Design,Mobile Development,Logical,UG,UI/UX Designer
AWS; Cloud,Marketing,Analytical,PG,Cloud Engineer
Android Studio; Kotlin,Cloud Computing,Analytical,UG,Android Developer
Java; Spring,Data Analysis,Analytical,Diploma,Software Engineer
Android Studio; Kotlin,Data Analysis,Social,UG,Android Developer
Python; SQL; PowerBI,Web Development,Creative,PG,Data Scientist
React; NodeJS,Marketing,Analytical,UG,Web Developer
TensorFlow; Python,Data Analysis,Logical,Diploma,ML Engineer
Wireframing; User Research,App Development,Analytical,Diploma,UI/UX Designer
Flutter; Dart,DevOps,Social,UG,Mobile App Developer
Docker; Kubernetes,Marketing,Logical,Diploma,DevOps Engineer
C++; DSA,Machine Learning,Creative,Diploma,Software Engineer
Flutter; Dart,DevOps,Analytical,UG,Mobile App Developer
Azure; Cloud Security,Programming,Logical,UG,Cloud Engineer
Statistics; Python,Cloud Computing,Creative,PG,Data Scientist
Android; Flutter,App Development,Analytical,PG,Mobile App Developer
Statistics; Python,Cloud Computing,Analytical,Diploma,Data Scientist
React Native; JavaScript,Data Analysis,Analytical,PG,Mobile App Developer
C++; DSA,Data Analysis,Creative,UG,Software Engineer
GCP; Cloud Architecture,Designing,Analytical,PG,Cloud Engineer
Python; OOP,Marketing,Creative,PG,Software Engineer
TensorFlow; Python,DevOps,Analytical,Diploma,ML Engineer
Statistics; Python,Designing,Analytical,PG,Data Scientist
GCP; Cloud Architecture,DevOps,Creative,PG,Cloud Engineer
Python; SQL; PowerBI,Marketing,Analytical,Diploma,Data Scientist
Docker; Kubernetes,App Development,Social,PG,DevOps Engineer
React Native; JavaScript,Data Analysis,Analytical,UG,Mobile App Developer
Python; ML Algorithms,Marketing,Logical,UG,ML Engineer
Email Marketing; Branding,Designing,Creative,UG,Digital Marketer
NextJS; JavaScript,Marketing,Social,Diploma,Web Developer
Email Marketing; Branding,Data Analysis,Logical,PG,Digital Marketer
Docker; Kubernetes,DevOps,Creative,UG,DevOps Engineer
Docker; Kubernetes,Programming,Analytical,PG,DevOps Engineer
Linux; Bash; DevOps,Cloud Computing,Creative,PG,DevOps Engineer
Linux; Bash; DevOps,App Development,Creative,Diploma,DevOps Engineer
Python; Pandas; NumPy,Web Development,Logical,UG,Data Scientist
Azure; Cloud Security,App Development,Logical,UG,Cloud Engineer
Python; OOP,Marketing,Social,Diploma,Software Engineer
Canva; UI Design,Data Analysis,Social,PG,UI/UX Designer
Android; Kotlin,App Development,Logical,UG,Android Developer
React; NodeJS,Web Development,Analytical,UG,Web Developer
Wireframing; User Research,Machine Learning,Logical,Diploma,UI/UX Designer
Docker; Kubernetes,Programming,Analytical,PG,DevOps Engineer
Linux; Bash; DevOps,Machine Learning,Social,UG,DevOps Engineer
NextJS; JavaScript,Programming,Social,UG,Web Developer
HTML; CSS; JavaScript,Web Development,Social,Diploma,Web Developer
Android Studio; Kotlin,Mobile Development,Logical,PG,Android Developer
Java; Android,Marketing,Creative,PG,Android Developer
CI/CD; Jenkins,Cloud Computing,Logical,UG,DevOps Engineer
SEO; Content Writing,Designing,Analytical,Diploma,Digital Marketer
Azure; Cloud Security,Web Development,Analytical,Diploma,Cloud Engineer
Figma; Prototyping,DevOps,Logical,Diploma,UI/UX Designer
Email Marketing; Branding,Web Development,Logical,UG,Digital Marketer
Photoshop; Illustrator,Designing,Creative,UG,UI/UX Designer
C++; DSA,Web Development,Social,Diploma,Software Engineer
Flutter; Dart,Marketing,Social,PG,Mobile App Developer
SEO; Content Writing,Marketing,Creative,UG,Digital Marketer
React Native; JavaScript,Designing,Creative,PG,Mobile App Developer
HTML; CSS; JavaScript,DevOps,Analytical,Diploma,Web Developer
AWS; Cloud,Data Analysis,Social,UG,Cloud Engineer
Git; GitHub,DevOps,Logical,PG,Software Engineer
Flutter; Dart,Cloud Computing,Creative,PG,Mobile App Developer
MERN Stack,Cloud Computing,Creative,UG,Web Developer
Docker; Kubernetes,Marketing,Analytical,UG,DevOps Engineer
CI/CD; Jenkins,Machine Learning,Social,PG,DevOps Engineer
Photoshop; Illustrator,Programming,Creative,PG,UI/UX Designer
Python; ML Algorithms,Designing,Social,UG,ML Engineer
Java; Spring,Web Development,Creative,Diploma,Software Engineer
HTML; CSS; JavaScript,Web Development,Social,Diploma,Web Developer
GCP; Cloud Architecture,Web Development,Creative,UG,Cloud Engineer
HTML; CSS; JavaScript,App Development,Logical,PG,Web Developer
Python; ML Algorithms,Data Analysis,Logical,Diploma,ML Engineer
Google Ads; Analytics,Designing,Social,Diploma,Digital Marketer
Docker; Kubernetes,Designing,Analytical,UG,DevOps Engineer
Machine Learning; Python,Machine Learning,Logical,Diploma,Data Scientist
Figma; Prototyping,Web Development,Logical,Diploma,UI/UX Designer
Wireframing; User Research,Data Analysis,Analytical,Diploma,UI/UX Designer
Azure; Cloud Security,DevOps,Creative,UG,Cloud Engineer
Linux; Bash; DevOps,Designing,Creative,UG,DevOps Engineer
CI/CD; Jenkins,Marketing,Analytical,Diploma,DevOps Engineer
Python; OOP,DevOps,Logical,UG,Software Engineer
Android; Kotlin,Web Development,Logical,Diploma,Android Developer
CI/CD; Jenkins,Machine Learning,Social,PG,DevOps Engineer
React Native; JavaScript,Programming,Logical,Diploma,Mobile App Developer
Social Media Marketing,Web Development,Logical,UG,Digital Marketer
TensorFlow; Python,Web Development,Social,Diploma,ML Engineer
PyTorch; Neural Networks,Cloud Computing,Creative,PG,ML Engineer
React Native; JavaScript,Marketing,Social,UG,Mobile App Developer
Python; Data Analysis,App Development,Social,UG,Data Scientist
Figma; Prototyping,Designing,Logical,PG,UI/UX Designer
PyTorch; Neural Networks,Mobile Development,Social,Diploma,ML Engineer
AWS; Cloud,Marketing,Logical,PG,Cloud Engineer
GCP; Cloud Architecture,Cloud Computing,Social,Diploma,Cloud Engineer
CI/CD; Jenkins,Marketing,Analytical,Diploma,DevOps Engineer
Social Media Marketing,Data Analysis,Creative,UG,Digital Marketer
NextJS; JavaScript,Mobile Development,Social,UG,Web Developer
Machine Learning; Python,Machine Learning,Creative,PG,Data Scientist
Python; OOP,Data Analysis,Logical,Diploma,Software Engineer
Canva; UI Design,App Development,Logical,PG,UI/UX Designer
Photoshop; Illustrator,DevOps,Creative,Diploma,UI/UX Designer
SEO; Content Writing,App Development,Logical,Diploma,Digital Marketer
React; NodeJS,Marketing,Social,PG,Web Developer
Machine Learning; Python,Data Analysis,Logical,Diploma,Data Scientist
TensorFlow; Python,Data Analysis,Creative,Diploma,ML Engineer
Linux; Bash; DevOps,Web Development,Logical,Diploma,DevOps Engineer
Azure; Cloud Security,DevOps,Creative,UG,Cloud Engineer
React Native; JavaScript,Web Development,Logical,Diploma,Mobile App Developer
Linux; Bash; DevOps,Marketing,Creative,UG,DevOps Engineer
Java; Spring,Marketing,Analytical,PG,Software Engineer
React Native; JavaScript,DevOps,Creative,UG,Mobile App Developer
Python; Data Analysis,DevOps,Social,UG,Data Scientist
Java; Android,Programming,Logical,UG,Android Developer
HTML; CSS; JavaScript,DevOps,Analytical,PG,Web Developer
PyTorch; Neural Networks,Designing,Creative,Diploma,ML Engineer
AWS; Cloud,Data Analysis,Creative,Diploma,Cloud Engineer
Python; ML Algorithms,Web Development,Social,PG,ML Engineer
Flutter; Dart,Programming,Creative,UG,Mobile App Developer
React Native; JavaScript,Machine Learning,Logical,UG,Mobile App Developer
MERN Stack,Mobile Development,Analytical,Diploma,Web Developer
Social Media Marketing,Machine Learning,Social,PG,Digital Marketer
Android; Flutter,DevOps,Logical,UG,Mobile App Developer
Java; Spring,Mobile Development,Analytical,Diploma,Software Engineer
Python; ML Algorithms,Web Development,Social,PG,ML Engineer
C++; DSA,Marketing,Social,PG,Software Engineer
Email Marketing; Branding,Data Analysis,Creative,UG,Digital Marketer
CI/CD; Jenkins,Machine Learning,Analytical,PG,DevOps Engineer
Python; Pandas; NumPy,Data Analysis,Social,PG,Data Scientist
Linux; Bash; DevOps,Web Development,Social,PG,DevOps Engineer
Android; Flutter,Mobile Development,Social,Diploma,Mobile App Developer
React; NodeJS,Machine Learning,Logical,PG,Web Developer
Git; GitHub,App Development,Social,PG,Software Engineer
Python; Pandas; NumPy,DevOps,Social,PG,Data Scientist
Google Ads; Analytics,Web Development,Social,Diploma,Digital Marketer
Docker; Kubernetes,Machine Learning,Creative,Diploma,DevOps Engineer
Python; Pandas; NumPy,Designing,Analytical,PG,Data Scientist
HTML; CSS; JavaScript,Mobile Development,Logical,UG,Web Developer
Android; Kotlin,Marketing,Analytical,Diploma,Android Developer
React; NodeJS,Mobile Development,Analytical,PG,Web Developer
Azure; Cloud Security,DevOps,Logical,PG,Cloud Engineer
Docker; Kubernetes,Cloud Computing,Social,PG,DevOps Engineer
GCP; Cloud Architecture,App Development,Creative,UG,Cloud Engineer
React; NodeJS,App Development,Logical,PG,Web Developer
Linux; Bash; DevOps,Designing,Analytical,PG,DevOps Engineer
Figma; Prototyping,App Development,Creative,UG,UI/UX Designer
Python; ML Algorithms,Machine Learning,Social,PG,ML Engineer
Machine Learning; Python,App Development,Social,Diploma,Data Scientist
Android; Kotlin,Programming,Creative,Diploma,Android Developer
AWS; Cloud,Data Analysis,Analytical,UG,Cloud Engineer
Android; Flutter,Programming,Analytical,PG,Mobile App Developer
Android; Kotlin,Designing,Analytical,UG,Android Developer
Email Marketing; Branding,Programming,Social,Diploma,Digital Marketer
TensorFlow; Python,Designing,Logical,PG,ML Engineer
Linux; Bash; DevOps,App Development,Creative,UG,DevOps Engineer
SEO; Content Writing,Designing,Analytical,UG,Digital Marketer
Linux; Bash; DevOps,Machine Learning,Social,PG,DevOps Engineer
Social Media Marketing,Cloud Computing,Creative,UG,Digital Marketer
Docker; Kubernetes,Marketing,Logical,Diploma,DevOps Engineer
Python; ML Algorithms,Marketing,Creative,UG,ML Engineer
Photoshop; Illustrator,App Development,Analytical,PG,UI/UX Designer
Android Studio; Kotlin,Data Analysis,Creative,Diploma,Android Developer
Python; OOP,DevOps,Social,PG,Software Engineer
SEO; Content Writing,App Development,Logical,PG,Digital Marketer
SEO; Content Writing,Marketing,Creative,PG,Digital Marketer
Android; Kotlin,Web Development,Analytical,Diploma,Android Developer
Figma; Prototyping,Data Analysis,Creative,PG,UI/UX Designer
TensorFlow; Python,Designing,Creative,Diploma,ML Engineer
Python; Data Analysis,Web Development,Analytical,Diploma,Data Scientist
Machine Learning; Python,Cloud Computing,Logical,PG,Data Scientist
Docker; Kubernetes,Data Analysis,Analytical,Diploma,DevOps Engineer
Java; Android,Web Development,Logical,Diploma,Android Developer
TensorFlow; Python,Programming,Logical,Diploma,ML Engineer
Java; Android,DevOps,Creative,UG,Android Developer
Canva; UI Design,Cloud Computing,Social,PG,UI/UX Designer
Statistics; Python,Programming,Creative,PG,Data Scientist
Email Marketing; Branding,Machine Learning,Analytical,Diploma,Digital Marketer
C++; DSA,Cloud Computing,Analytical,Diploma,Software Engineer
React Native; JavaScript,Data Analysis,Logical,Diploma,Mobile App Developer
C++; DSA,DevOps,Social,UG,Software Engineer
Java; Spring,Machine Learning,Creative,Diploma,Software Engineer
MERN Stack,Designing,Social,Diploma,Web Developer
Python; OOP,Machine Learning,Logical,Diploma,Software Engineer
Android; Flutter,Mobile Development,Social,UG,Mobile App Developer
Wireframing; User Research,Marketing,Creative,PG,UI/UX Designer
Android; Flutter,Programming,Logical,Diploma,Mobile App Developer
Figma; Prototyping,DevOps,Social,PG,UI/UX Designer
Android Studio; Kotlin,Web Development,Analytical,UG,Android Developer
Canva; UI Design,Machine Learning,Analytical,Diploma,UI/UX Designer
AWS; Cloud,Web Development,Social,Diploma,Cloud Engineer
CI/CD; Jenkins,Machine Learning,Creative,UG,DevOps Engineer
Deep Learning; Python,App Development,Social,UG,ML Engineer
Photoshop; Illustrator,Cloud Computing,Creative,UG,UI/UX Designer
CI/CD; Jenkins,App Development,Social,UG,DevOps Engineer
Azure; Cloud Security,Designing,Creative,UG,Cloud Engineer
Android Studio; Kotlin,Cloud Computing,Logical,Diploma,Android Developer
CI/CD; Jenkins,Cloud Computing,Creative,UG,DevOps Engineer
TensorFlow; Python,Mobile Development,Logical,Diploma,ML Engineer
AWS; Cloud,Machine Learning,Analytical,PG,Cloud Engineer
SEO; Content Writing,Marketing,Social,Diploma,Digital Marketer
Python; ML Algorithms,Marketing,Creative,PG,ML Engineer
C++; DSA,Cloud Computing,Analytical,Diploma,Software Engineer
Python; Data Analysis,Mobile Development,Logical,PG,Data Scientist
Java; Android,Web Development,Creative,Diploma,Android Developer
Android; Kotlin,Data Analysis,Logical,Diploma,Android Developer
Wireframing; User Research,App Development,Logical,Diploma,UI/UX Designer
React Native; JavaScript,Programming,Logical,Diploma,Mobile App Developer
Deep Learning; Python,Programming,Analytical,PG,ML Engineer
AWS; Cloud,Mobile Development,Creative,Diploma,Cloud Engineer
Deep Learning; Python,Machine Learning,Logical,Diploma,ML Engineer
Docker; Kubernetes,Data Analysis,Logical,UG,DevOps Engineer
React Native; JavaScript,Machine Learning,Analytical,PG,Mobile App Developer
Wireframing; User Research,Marketing,Analytical,UG,UI/UX Designer
Email Marketing; Branding,DevOps,Social,PG,Digital Marketer
Python; Pandas; NumPy,Marketing,Analytical,UG,Data Scientist
Email Marketing; Branding,Programming,Creative,PG,Digital Marketer
TensorFlow; Python,DevOps,Analytical,Diploma,ML Engineer
SEO; Content Writing,Cloud Computing,Logical,Diploma,Digital Marketer
Deep Learning; Python,Data Analysis,Logical,Diploma,ML Engineer
React Native; JavaScript,Mobile Development,Analytical,UG,Mobile App Developer
Python; Data Analysis,Marketing,Creative,PG,Data Scientist
Android Studio; Kotlin,Machine Learning,Social,PG,Android Developer
GCP; Cloud Architecture,Marketing,Social,PG,Cloud Engineer
Linux; Bash; DevOps,Mobile Development,Creative,PG,DevOps Engineer
SEO; Content Writing,Data Analysis,Logical,UG,Digital Marketer
Java; Android,Data Analysis,Analytical,Diploma,Android Developer
CI/CD; Jenkins,App Development,Analytical,UG,DevOps Engineer
CI/CD; Jenkins,Machine Learning,Logical,Diploma,DevOps Engineer
CI/CD; Jenkins,App Development,Analytical,Diploma,DevOps Engineer
Java; Spring,Web Development,Logical,UG,Software Engineer
Python; OOP,Mobile Development,Creative,Diploma,Software Engineer
SEO; Content Writing,Data Analysis,Creative,Diploma,Digital Marketer
Email Marketing; Branding,Programming,Logical,PG,Digital Marketer
Java; Spring,Mobile Development,Logical,PG,Software Engineer
Deep Learning; Python,Data Analysis,Analytical,UG,ML Engineer
Java; Android,Cloud Computing,Logical,Diploma,Android Developer
HTML; CSS; JavaScript,Marketing,Social,PG,Web Developer
Python; ML Algorithms,Mobile Development,Social,Diploma,ML Engineer
Python; OOP,App Development,Analytical,UG,Software Engineer
Figma; Prototyping,Machine Learning,Analytical,UG,UI/UX Designer
Statistics; Python,DevOps,Logical,PG,Data Scientist
Python; Pandas; NumPy,DevOps,Creative,Diploma,Data Scientist
NextJS; JavaScript,Web Development,Logical,PG,Web Developer
Wireframing; User Research,Mobile Development,Logical,UG,UI/UX Designer
AWS; Cloud,Machine Learning,Creative,Diploma,Cloud Engineer
C++; DSA,Web Development,Logical,UG,Software Engineer
Azure; Cloud Security,Designing,Logical,UG,Cloud Engineer
Java; Spring,Data Analysis,Analytical,Diploma,Software Engineer
Python; SQL; PowerBI,Machine Learning,Logical,UG,Data Scientist
Photoshop; Illustrator,Programming,Creative,UG,UI/UX Designer
Flutter; Dart,Cloud Computing,Social,UG,Mobile App Developer
React Native; JavaScript,Designing,Logical,Diploma,Mobile App Developer
Email Marketing; Branding,App Development,Logical,UG,Digital Marketer
Flutter; Dart,Cloud Computing,Social,PG,Mobile App Developer
Android Studio; Kotlin,Machine Learning,Creative,PG,Android Developer
Linux; Bash; DevOps,Cloud Computing,Creative,PG,DevOps Engineer
Python; Data Analysis,Machine Learning,Analytical,UG,Data Scientist
Email Marketing; Branding,Web Development,Analytical,PG,Digital Marketer
Docker; Kubernetes,Marketing,Social,UG,DevOps Engineer
SEO; Content Writing,Machine Learning,Logical,PG,Digital Marketer
Python; Data Analysis,App Development,Social,PG,Data Scientist
Machine Learning; Python,Marketing,Logical,Diploma,Data Scientist
CI/CD; Jenkins,Web Development,Analytical,Diploma,DevOps Engineer
Figma; Prototyping,Marketing,Logical,Diploma,UI/UX Designer
Google Ads; Analytics,Machine Learning,Social,PG,Digital Marketer
Canva; UI Design,Web Development,Social,PG,UI/UX Designer
GCP; Cloud Architecture,DevOps,Analytical,UG,Cloud Engineer
PyTorch; Neural Networks,Mobile Development,Analytical,Diploma,ML Engineer
Python; OOP,Programming,Creative,Diploma,Software Engineer
GCP; Cloud Architecture,Web Development,Creative,PG,Cloud Engineer
SEO; Content Writing,Web Development,Logical,Diploma,Digital Marketer
Statistics; Python,Mobile Development,Creative,PG,Data Scientist
Android; Flutter,Mobile Development,Logical,Diploma,Mobile App Developer
Android; Kotlin,Web Development,Social,PG,Android Developer
Canva; UI Design,Marketing,Creative,PG,UI/UX Designer
C++; DSA,Cloud Computing,Creative,Diploma,Software Engineer
React Native; JavaScript,Machine Learning,Social,Diploma,Mobile App Developer
Python; ML Algorithms,Programming,Social,Diploma,ML Engineer
React; NodeJS,App Development,Logical,UG,Web Developer
MERN Stack,Programming,Logical,UG,Web Developer
Linux; Bash; DevOps,Programming,Social,Diploma,DevOps Engineer
CI/CD; Jenkins,Mobile Development,Creative,PG,DevOps Engineer
Java; Android,Machine Learning,Creative,PG,Android Developer
MERN Stack,Designing,Analytical,PG,Web Developer
Photoshop; Illustrator,DevOps,Social,Diploma,UI/UX Designer
Python; OOP,Designing,Creative,UG,Software Engineer
Photoshop; Illustrator,Marketing,Analytical,UG,UI/UX Designer
Machine Learning; Python,Machine Learning,Logical,PG,Data Scientist
Python; Data Analysis,DevOps,Creative,UG,Data Scientist
React; NodeJS,DevOps,Analytical,Diploma,Web Developer
Linux; Bash; DevOps,Cloud Computing,Creative,PG,DevOps Engineer
Email Marketing; Branding,Data Analysis,Logical,PG,Digital Marketer
Azure; Cloud Security,App Development,Analytical,UG,Cloud Engineer
Azure; Cloud Security,Programming,Creative,UG,Cloud Engineer
Google Ads; Analytics,Programming,Social,Diploma,Digital Marketer
Java; Spring,DevOps,Analytical,UG,Software Engineer
SEO; Content Writing,Machine Learning,Creative,UG,Digital Marketer
Python; ML Algorithms,Web Development,Analytical,UG,ML Engineer
React; NodeJS,DevOps,Logical,Diploma,Web Developer
CI/CD; Jenkins,Designing,Logical,Diploma,DevOps Engineer
C++; DSA,Data Analysis,Logical,UG,Software Engineer
Python; OOP,Programming,Logical,Diploma,Software Engineer
Deep Learning; Python,Data Analysis,Creative,Diploma,ML Engineer
Email Marketing; Branding,Designing,Social,PG,Digital Marketer
Flutter; Dart,Web Development,Social,UG,Mobile App Developer
SEO; Content Writing,Cloud Computing,Logical,Diploma,Digital Marketer
Email Marketing; Branding,Cloud Computing,Creative,Diploma,Digital Marketer
Android; Kotlin,Marketing,Creative,UG,Android Developer
Linux; Bash; DevOps,Mobile Development,Analytical,UG,DevOps Engineer
Flutter; Dart,Web Development,Logical,Diploma,Mobile App Developer
Android; Kotlin,Mobile Development,Logical,PG,Android Developer
TensorFlow; Python,Cloud Computing,Logical,UG,ML Engineer
Statistics; Python,Machine Learning,Analytical,Diploma,Data Scientist
Java; Android,Machine Learning,Social,Diploma,Android Developer
Linux; Bash; DevOps,Programming,Social,UG,DevOps Engineer
Android; Kotlin,Web Development,Logical,Diploma,Android Developer
PyTorch; Neural Networks,Web Development,Creative,PG,ML Engineer
SEO; Content Writing,Marketing,Analytical,UG,Digital Marketer
TensorFlow; Python,Programming,Social,PG,ML Engineer
Statistics; Python,Mobile Development,Creative,Diploma,Data Scientist
Wireframing; User Research,Data Analysis,Creative,PG,UI/UX Designer
CI/CD; Jenkins,DevOps,Creative,PG,DevOps Engineer
Photoshop; Illustrator,Machine Learning,Analytical,Diploma,UI/UX Designer
Wireframing; User Research,Mobile Development,Logical,UG,UI/UX Designer
MERN Stack,Web Development,Creative,Diploma,Web Developer
Python; Data Analysis,Mobile Development,Social,Diploma,Data Scientist
Python; Pandas; NumPy,Marketing,Creative,PG,Data Scientist
Java; Spring,Web Development,Creative,PG,Software Engineer
Google Ads; Analytics,Web Development,Logical,UG,Digital Marketer
PyTorch; Neural Networks,Programming,Logical,UG,ML Engineer
Android; Flutter,Data Analysis,Social,Diploma,Mobile App Developer
NextJS; JavaScript,Marketing,Analytical,Diploma,Web Developer
Statistics; Python,Cloud Computing,Social,Diploma,Data Scientist
Python; Pandas; NumPy,App Development,Analytical,PG,Data Scientist
Photoshop; Illustrator,App Development,Social,PG,UI/UX Designer
Social Media Marketing,Cloud Computing,Analytical,PG,Digital Marketer
Figma; Prototyping,Web Development,Analytical,Diploma,UI/UX Designer
Python; ML Algorithms,DevOps,Creative,Diploma,ML Engineer
Python; Pandas; NumPy,Marketing,Analytical,Diploma,Data Scientist
HTML; CSS; JavaScript,Programming,Logical,PG,Web Developer
Android; Flutter,DevOps,Logical,UG,Mobile App Developer
Google Ads; Analytics,Marketing,Social,UG,Digital Marketer
Figma; Prototyping,Designing,Social,Diploma,UI/UX Designer
Social Media Marketing,Mobile Development,Creative,PG,Digital Marketer
TensorFlow; Python,Designing,Creative,Diploma,ML Engineer
Android; Flutter,App Development,Social,Diploma,Mobile App Developer
CI/CD; Jenkins,Designing,Social,PG,DevOps Engineer
React Native; JavaScript,App Development,Analytical,PG,Mobile App Developer
Python; Pandas; NumPy,Marketing,Social,Diploma,Data Scientist
React; NodeJS,Data Analysis,Creative,UG,Web Developer
CI/CD; Jenkins,App Development,Creative,UG,DevOps Engineer
AWS; Cloud,Mobile Development,Logical,PG,Cloud Engineer
Python; ML Algorithms,Machine Learning,Creative,UG,ML Engineer
NextJS; JavaScript,Marketing,Analytical,PG,Web Developer
Machine Learning; Python,Marketing,Logical,PG,Data Scientist
Java; Spring,App Development,Logical,Diploma,Software Engineer
Google Ads; Analytics,App Development,Logical,UG,Digital Marketer
TensorFlow; Python,Marketing,Analytical,Diploma,ML Engineer
Java; Android,DevOps,Social,PG,Android Developer
Google Ads; Analytics,DevOps,Social,Diploma,Digital Marketer
Wireframing; User Research,Cloud Computing,Analytical,PG,UI/UX Designer
Android; Flutter,Cloud Computing,Creative,PG,Mobile App Developer
Android; Kotlin,Data Analysis,Analytical,UG,Android Developer
SEO; Content Writing,Marketing,Social,PG,Digital Marketer
Wireframing; User Research,Marketing,Social,UG,UI/UX Designer
Java; Spring,Web Development,Logical,PG,Software Engineer
Flutter; Dart,Programming,Creative,Diploma,Mobile App Developer
React Native; JavaScript,Web Development,Social,PG,Mobile App Developer
GCP; Cloud Architecture,Web Development,Analytical,Diploma,Cloud Engineer
Android; Flutter,Machine Learning,Analytical,UG,Mobile App Developer
Docker; Kubernetes,Programming,Logical,UG,DevOps Engineer
C++; DSA,Programming,Logical,PG,Software Engineer
React Native; JavaScript,Mobile Development,Logical,UG,Mobile App Developer
Wireframing; User Research,Designing,Social,Diploma,UI/UX Designer
Azure; Cloud Security,Machine Learning,Creative,Diploma,Cloud Engineer
Azure; Cloud Security,Web Development,Social,PG,Cloud Engineer
CI/CD; Jenkins,Marketing,Logical,Diploma,DevOps Engineer
Git; GitHub,Mobile Development,Analytical,PG,Software Engineer
